unique_id,task_id,timestamp,mouse_X,mouse_Y,center_X,center_Y,diameter,occlusion_square_id
641569,3763,1803,155.818,261.21,144,256,16,242
641570,3763,1820,151.818,240.21,144,240,16,241
641571,3763,1836,149.818,215.21,144,208,16,239
641572,3763,1854,150.818,191.21,144,176,16,237
641573,3763,1870,157.818,169.21,144,160,16,236
641574,3763,1886,168.818,154.21,160,144,16,260
641575,3763,1920,182.818,148.21,176,144,16,285
641576,3763,1969,192.818,168.21,192,160,16,311
641577,3763,1986,192.818,202.21,192,192,16,313
641578,3763,2004,174.818,282.21,160,272,16,268
641579,3763,2020,148.818,328.21,144,320,16,246
641580,3763,2036,123.818,356.21,112,352,16,198
641581,3763,2053,108.818,364.21,96,352,16,173
641582,3763,2086,95.8182,362.21,80,352,16,148
641583,3763,2119,77.8182,329.21,64,320,16,121
641584,3763,2136,68.8182,288.21,64,288,16,119
641585,3763,2152,64.8182,242.21,64,240,16,116
641586,3763,2169,64.8182,193.21,64,192,16,113
641587,3763,2186,70.8182,152.21,64,144,16,110
641588,3763,2203,91.8182,104.21,80,96,16,132
641589,3763,2219,113.818,78.2102,112,64,16,180
641590,3763,2236,132.818,68.2102,128,64,16,205
641591,3763,2269,170.818,70.2102,160,64,16,255
641592,3763,2286,191.818,87.2102,176,80,16,281
641593,3763,2303,210.818,118.21,208,112,16,333
641594,3763,2319,220.818,157.21,208,144,16,335
641595,3763,2336,223.818,198.21,208,192,16,338
641596,3763,2352,213.818,242.21,208,240,16,341
641597,3763,2403,127.818,346.21,112,336,16,197
641598,3763,2419,110.818,348.21,96,336,16,172
641599,3763,2452,81.8182,323.21,80,320,16,146
641600,3763,2469,68.8182,305.21,64,304,16,120
641601,3763,2486,58.8182,283.21,48,272,16,93
641602,3763,2503,52.8182,258.21,48,256,16,92
641603,3763,2519,52.8182,229.21,48,224,16,90
641604,3763,2536,57.8182,185.21,48,176,16,87
641605,3763,2553,84.8182,140.21,80,128,16,134
641606,3763,2570,117.818,99.2102,112,96,16,182
641607,3763,2619,184.818,77.2102,176,64,16,280
641608,3763,2636,202.818,94.2102,192,80,16,306
641609,3763,2669,231.818,148.21,224,144,16,360
641610,3763,2686,234.818,177.21,224,176,16,362
641611,3763,2820,158.818,289.21,144,288,16,244
641612,3763,2853,162.818,246.21,160,240,16,266
641613,3763,2869,174.818,218.21,160,208,16,264
641614,3763,2885,191.818,194.21,176,192,16,288
641615,3763,2903,211.818,175.21,208,160,16,336
641616,3763,2919,227.818,162.21,224,160,16,361
641617,3763,3036,240.818,228.21,240,224,16,390
641618,3763,3052,225.818,262.21,224,256,16,367
641619,3763,3103,207.818,285.21,192,272,16,318
641620,3763,3153,188.818,261.21,176,256,16,292
641621,3763,3169,178.818,242.21,176,240,16,291
641622,3763,3203,168.818,195.21,160,192,16,263
641623,3763,3236,185.818,134.21,176,128,16,284
641624,3763,3253,197.818,117.21,192,112,16,308
641625,3763,3270,210.818,104.21,208,96,16,332
641626,3763,3303,229.818,100.21,224,96,16,357
641627,3763,3320,241.818,100.21,240,96,16,382
641628,3763,3353,261.818,117.21,256,112,16,408
641629,3763,3370,268.818,132.21,256,128,16,409
641630,3763,3386,269.818,154.21,256,144,16,410
641631,3763,3403,265.818,188.21,256,176,16,412
641632,3763,3519,185.818,277.21,176,272,16,293
641633,3763,3536,175.818,267.21,160,256,16,267
641634,3764,1779,171.818,148.21,150,125,25,102
641635,3764,1881,168.818,158.21,150,150,25,103
641636,3764,1898,161.818,179.21,150,175,25,104
641637,3764,1914,153.818,208.21,150,200,25,105
641638,3764,1931,139.818,248.21,125,225,25,90
641639,3764,1948,124.818,285.21,100,275,25,76
641640,3764,1964,112.818,317.21,100,300,25,77
641641,3764,1982,100.818,345.21,100,325,25,78
641642,3764,1998,98.8182,352.21,75,350,25,63
641643,3764,2065,98.8182,348.21,75,325,25,62
641644,3764,2130,145.818,178.21,125,175,25,88
641645,3764,2164,176.818,76.2102,175,75,25,116
641646,3764,2180,181.818,59.2102,175,50,25,115
641647,3764,2297,176.818,127.21,175,125,25,118
641648,3764,2348,150.818,272.21,150,250,25,107
641649,3764,2363,146.818,285.21,125,275,25,92
641650,3764,2430,146.818,273.21,125,250,25,91
641651,3764,2498,170.818,82.2102,150,75,25,100
641652,3764,2514,179.818,31.2102,175,25,25,114
641653,3764,2530,181.818,21.2102,175,0,25,113
641654,3764,2648,186.818,117.21,175,100,25,117
641655,3764,2665,186.818,183.21,175,175,25,120
641656,3764,2681,186.818,255.21,175,250,25,123
641657,3764,2698,186.818,297.21,175,275,25,124
641658,3764,2715,186.818,322.21,175,300,25,125
641659,3764,2732,186.818,333.21,175,325,25,126
641660,3764,2814,208.818,228.21,200,225,25,138
641661,3764,2831,220.818,168.21,200,150,25,135
641662,3764,2849,235.818,116.21,225,100,25,149
641663,3764,2865,247.818,76.2102,225,75,25,148
641664,3764,2882,254.818,49.2102,250,25,25,162
641665,3764,2964,259.818,51.2102,250,50,25,163
641666,3764,2980,253.818,92.2102,250,75,25,164
641667,3764,2996,242.818,152.21,225,150,25,151
641668,3764,3014,232.818,224.21,225,200,25,153
641669,3764,3030,225.818,276.21,225,275,25,156
641670,3764,3047,219.818,323.21,200,300,25,141
641671,3764,3064,214.818,348.21,200,325,25,142
641672,3764,3081,213.818,358.21,200,350,25,143
641673,3764,3180,258.818,128.21,250,125,25,166
641674,3764,3197,275.818,59.2102,275,50,25,179
641675,3764,3213,290.818,10.2102,275,0,25,177
641676,3764,3331,303.818,27.2102,300,25,25,194
641677,3764,3347,301.818,87.2102,300,75,25,196
641678,3764,3364,291.818,188.21,275,175,25,184
641679,3764,3381,286.818,244.21,275,225,25,186
641680,3764,3397,286.818,279.21,275,275,25,188
641681,3764,3431,286.818,306.21,275,300,25,189
641682,3764,3521,308.818,198.21,300,175,25,200
641683,3764,3546,331.818,105.21,325,100,25,213
641684,3764,3563,349.818,32.2102,325,25,25,210
641685,3764,3579,355.818,7.21024,350,0,25,225
641686,3764,3680,359.818,52.2102,350,50,25,227
641687,3764,3696,356.818,102.21,350,100,25,229
641688,3764,3714,352.818,160.21,350,150,25,231
641689,3764,3730,346.818,219.21,325,200,25,217
641690,3764,3747,341.818,261.21,325,250,25,219
641691,3764,3764,337.818,297.21,325,275,25,220
641692,3764,3779,335.818,310.21,325,300,25,221
641693,3764,3879,323.818,237.21,300,225,25,202
641694,3764,3913,307.818,118.21,300,100,25,197
641695,3764,3931,300.818,69.2102,300,50,25,195
641696,3764,3947,295.818,37.2102,275,25,25,178
641697,3764,4079,204.818,148.21,200,125,25,134
641698,3764,4114,159.818,225.21,150,225,25,106
641699,3764,4330,168.818,64.2102,150,50,25,99
641700,3764,4347,173.818,46.2102,150,25,25,98
641701,3764,4446,150.818,101.21,150,100,25,101
641702,3764,4463,128.818,148.21,125,125,25,86
641703,3764,4479,103.818,200.21,100,200,25,73
641704,3764,4496,81.8182,245.21,75,225,25,58
641705,3764,4513,68.8182,278.21,50,275,25,44
641706,3764,4596,60.8182,263.21,50,250,25,43
641707,3764,4613,60.8182,229.21,50,225,25,42
641708,3764,4629,60.8182,185.21,50,175,25,40
641709,3764,4646,66.8182,138.21,50,125,25,38
641710,3764,4663,71.8182,104.21,50,100,25,37
641711,3764,4679,77.8182,80.2102,75,75,25,52
641712,3764,4698,81.8182,65.2102,75,50,25,51
641713,3764,4796,75.8182,122.21,75,100,25,53
641714,3764,4814,69.8182,169.21,50,150,25,39
641715,3764,4863,43.8182,328.21,25,325,25,30
641716,3764,4880,42.8182,357.21,25,350,25,31
641717,3764,4914,42.8182,379.21,25,375,25,32
641718,3764,4964,54.8182,356.21,50,350,25,47
641719,3764,4979,74.8182,319.21,50,300,25,45
641720,3764,5013,121.818,247.21,100,225,25,74
641721,3764,5046,146.818,218.21,125,200,25,89
641722,3764,5147,161.818,280.21,150,275,25,108
641723,3764,5163,167.818,300.21,150,300,25,109
641724,3764,5279,211.818,256.21,200,250,25,139
641725,3764,5413,231.818,231.21,225,225,25,154
641726,3764,5430,231.818,251.21,225,250,25,155
641727,3764,5496,232.818,300.21,225,300,25,157
641728,3764,5580,250.818,201.21,250,200,25,169
641729,3764,5864,201.818,297.21,200,275,25,140
641730,3764,5896,181.818,364.21,175,350,25,127
641731,3764,5930,178.818,375.21,175,375,25,128
641732,3765,1176,48.5,32.0625,40,0,40,11
641733,3765,1193,94.5,32.0625,80,0,40,21
641734,3765,1210,170.5,32.0625,160,0,40,41
641735,3765,1227,254.5,32.0625,240,0,40,61
641736,3765,1244,330.5,32.0625,320,0,40,81
641737,3765,1260,365.5,32.0625,360,0,40,91
641738,3765,1361,302.5,41.0625,280,40,40,72
641739,3765,1377,231.5,49.0625,200,40,40,52
641740,3765,1394,108.5,67.0625,80,40,40,22
641741,3765,1410,39.5,80.0625,0,80,40,3
641742,3765,1528,63.5,84.0625,40,80,40,13
641743,3765,1561,169.5,69.0625,160,40,40,42
641744,3765,1627,139.5,69.0625,120,40,40,32
641745,3765,1660,18.5,72.0625,0,40,40,2
641746,3765,1794,65.5,69.0625,40,40,40,12
641747,3765,2060,81.5,87.0625,80,80,40,23
641748,3765,2077,162.5,87.0625,160,80,40,43
641749,3765,2094,247.5,87.0625,240,80,40,63
641750,3765,2127,280.5,87.0625,280,80,40,73
641751,3765,2178,210.5,96.0625,200,80,40,53
641752,3765,2194,156.5,104.062,120,80,40,33
641753,3765,2377,274.5,79.0625,240,40,40,62
641754,3765,2945,168.5,122.062,160,120,40,44
641755,3765,2961,70.5,135.062,40,120,40,14
641756,3765,3077,24.5,156.062,0,120,40,4
641757,3765,3094,124.5,156.062,120,120,40,34
641758,3765,3111,224.5,156.062,200,120,40,54
641759,3765,3128,295.5,156.062,280,120,40,74
641760,3765,3177,296.5,160.062,280,160,40,75
641761,3765,3194,244.5,168.062,240,160,40,65
641762,3765,3211,162.5,179.062,160,160,40,45
641763,3765,3228,64.5,181.062,40,160,40,15
641764,3765,3344,29.5,186.062,0,160,40,5
641765,3765,3361,130.5,183.062,120,160,40,35
641766,3765,3461,264.5,157.062,240,120,40,64
641767,3765,3877,2.5,213.062,0,200,40,6
641768,3765,3894,81.5,213.062,80,200,40,26
641769,3765,3910,167.5,213.062,160,200,40,46
641770,3765,3927,222.5,212.062,200,200,40,56
641771,3765,3945,240.5,212.062,240,200,40,66
641772,3765,4028,134.5,212.062,120,200,40,36
641773,3765,4161,73.5,215.062,40,200,40,16
641774,3765,4444,239.5,192.062,200,160,40,55
641775,3765,4711,280.5,225.062,280,200,40,76
641776,3765,4744,321.5,225.062,320,200,40,86
641777,3765,4811,172.5,248.062,160,240,40,47
641778,3765,4828,68.5,252.062,40,240,40,17
641779,3765,4844,7.5,265.062,0,240,40,7
641780,3765,4978,215.5,271.062,200,240,40,57
641781,3765,5061,186.5,280.062,160,280,40,48
641782,3765,5078,133.5,288.062,120,280,40,38
641783,3765,5094,55.5,296.062,40,280,40,18
641784,3765,5195,5.5,312.062,0,280,40,8
641785,3765,5248,260.5,312.062,240,280,40,68
641786,3765,5262,306.5,315.062,280,280,40,78
641787,3765,5311,312.5,320.062,280,320,40,79
641788,3765,5345,217.5,332.062,200,320,40,59
641789,3765,5361,71.5,334.062,40,320,40,19
641790,3765,5378,7.5,339.062,0,320,40,9
641791,3765,5495,116.5,344.062,80,320,40,29
641792,3765,5611,239.5,360.062,200,360,40,60
641793,3765,5628,138.5,362.062,120,360,40,40
641794,3765,5645,32.5,362.062,0,360,40,10
641795,3765,5761,57.5,368.062,40,360,40,20
641796,3765,5778,193.5,368.062,160,360,40,50
641797,3765,5795,271.5,368.062,240,360,40,70
641798,3765,5811,301.5,368.062,280,360,40,80
641799,3765,5912,111.5,369.062,80,360,40,30
641800,3765,6078,350.5,369.062,320,360,40,90
641801,3765,6329,343.5,356.062,320,320,40,89
