unique_id,task_id,timestamp,mouse_X,mouse_Y,center_X,center_Y,diameter,occlusion_square_id
851875,4939,14223,258.5,178.359,255,175,5,4116
851876,4939,14240,238.5,208.359,235,205,5,3802
851877,4939,14257,226.5,237.359,225,235,5,3648
851878,4939,14273,224.5,251.359,220,250,5,3571
851879,4939,14290,224.5,255.359,220,255,5,3572
851880,4939,14357,252.5,221.359,250,220,5,4045
851881,4939,14408,286.5,142.359,285,140,5,4589
851882,4939,14424,286.5,135.359,285,135,5,4588
851883,4939,14457,273.5,124.359,270,120,5,4345
851884,4939,14474,260.5,123.359,260,120,5,4185
851885,4939,14490,243.5,127.359,240,125,5,3866
851886,4939,14507,222.5,142.359,220,140,5,3549
851887,4939,14524,201.5,167.359,200,165,5,3234
851888,4939,14541,190.5,200.359,190,200,5,3081
851889,4939,14557,188.5,226.359,185,225,5,3006
851890,4939,14574,192.5,241.359,190,240,5,3089
851891,4939,14591,198.5,247.359,195,245,5,3170
851892,4939,14624,237.5,220.359,235,220,5,3805
851893,4939,14641,285.5,184.359,285,180,5,4597
851894,4939,14657,303.5,162.359,300,160,5,4833
851895,4939,14691,309.5,140.359,305,140,5,4909
851896,4939,14726,309.5,133.359,305,130,5,4907
851897,4939,14741,296.5,126.359,295,125,5,4746
851898,4939,14758,255.5,122.359,255,120,5,4105
851899,4939,14775,208.5,122.359,205,120,5,3305
851900,4939,14791,158.5,140.359,155,140,5,2509
851901,4939,14808,139.5,167.359,135,165,5,2194
851902,4939,14824,125.5,216.359,125,215,5,2044
851903,4939,14841,122.5,251.359,120,250,5,1971
851904,4939,14858,124.5,268.359,120,265,5,1974
851905,4939,14874,129.5,274.359,125,270,5,2055
851906,4939,14891,148.5,274.359,145,270,5,2375
851907,4939,14908,194.5,258.359,190,255,5,3092
851908,4939,14924,255.5,225.359,255,225,5,4126
851909,4939,14941,290.5,195.359,290,195,5,4680
851910,4939,14958,303.5,175.359,300,175,5,4836
851911,4939,14975,307.5,160.359,305,160,5,4913
851912,4939,15024,304.5,135.359,300,135,5,4828
851913,4939,15108,225.5,170.359,225,170,5,3635
851914,4939,15125,207.5,189.359,205,185,5,3318
851915,4939,15142,202.5,203.359,200,200,5,3241
851916,4939,15158,201.5,208.359,200,205,5,3242
851917,4939,15225,211.5,197.359,210,195,5,3400
851918,4939,15258,244.5,145.359,240,145,5,3870
851919,4939,15292,246.5,121.359,245,120,5,3945
851920,4939,15375,200.5,147.359,200,145,5,3230
851921,4939,15392,180.5,179.359,180,175,5,2916
851922,4939,15425,166.5,227.359,165,225,5,2686
851923,4939,15442,166.5,239.359,165,235,5,2688
851924,4939,15459,166.5,243.359,165,240,5,2689
